INSEE,Commune,DEP,REG,82_14_a,82_14_b,82_14_c,82_14_d,82_14_e,82_14_f,82_14_g
01170,Géovreissiat,01,82,3,0,0,0,0,0,0
01171,Géovreisset,01,82,1,0,0,1,0,0,0
01173,Gex,01,82,2,0,0,0,0,0,0
01174,Giron,01,82,1,0,0,0,0,0,0
01175,Gorrevod,01,82,3,0,0,0,0,0,0
01179,Grièges,01,82,4,0,0,1,0,0,0
01180,Grilly,01,82,1,0,0,0,0,0,0
01181,Groissiat,01,82,1,0,0,0,0,0,0
01182,Groslée,01,82,1,0,0,0,0,0,0
01183,Guéreins,01,82,4,0,0,0,0,0,0
01185,Hauteville-Lompnes,01,82,3,0,0,0,0,0,0
01187,Hotonnes,01,82,1,0,0,0,0,0,0
01189,Injoux-Génissiat,01,82,1,0,0,1,0,0,0
01190,Innimond,01,82,1,0,0,0,0,0,0
01192,Izernore,01,82,2,0,0,0,0,0,0
01193,Izieu,01,82,1,0,0,0,0,0,0
01194,Jassans-Riottier,01,82,6,0,0,0,0,0,0
01195,Jasseron,01,82,1,0,0,1,0,0,0
01196,Jayat,01,82,1,0,0,3,0,0,0
01199,Jujurieux,01,82,5,0,0,0,0,0,0
01200,Labalme,01,82,1,0,0,0,0,0,0
01202,Lagnieu,01,82,5,0,0,0,0,0,0
01203,Laiz,01,82,1,0,0,1,0,0,0
01204,Lalleyriat,01,82,3,0,0,0,0,0,0
01208,Lavours,01,82,1,0,0,0,0,0,0
01209,Léaz,01,82,1,0,0,0,0,0,0
01210,Lélex,01,82,1,0,0,0,0,0,0
01212,Lescheroux,01,82,0,0,0,1,0,0,0
01213,Leyment,01,82,2,0,0,0,0,0,0
01216,Lhuis,01,82,2,0,0,0,0,0,0
01218,Lochieu,01,82,2,0,0,0,0,0,0
01219,Lompnas,01,82,1,0,0,0,0,0,0
01221,Lompnieu,01,82,1,0,0,0,0,0,0
01224,Loyettes,01,82,3,0,0,0,0,0,0
01225,Lurcy,01,82,4,0,0,0,0,0,0
01228,Maillat,01,82,4,0,0,0,0,0,0
01231,Manziat,01,82,4,0,0,0,0,0,0
